/Users/mukulmalik/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-07-14 22:22:21,520 - INFO - Optimized Background Agent initialized successfully
2025-07-14 22:22:21,521 - INFO - 🚀 Starting Optimized Background Grok Analysis Agent
2025-07-14 22:22:21,521 - INFO - ============================================================
2025-07-14 22:22:21,521 - INFO - 📚 Processing UPSC 2025 Questions
2025-07-14 22:22:21,521 - INFO - ----------------------------------------
2025-07-14 22:22:21,521 - INFO - Loaded 100 questions for UPSC 2025
2025-07-14 22:22:21,521 - INFO - Loaded existing output file for 2025 with 15 questions
2025-07-14 22:22:21,521 - INFO - Starting analysis for UPSC 2025
2025-07-14 22:22:21,521 - INFO - Total questions: 100
2025-07-14 22:22:21,521 - INFO - Batch size: 5
2025-07-14 22:22:21,521 - INFO - Total batches: 20
2025-07-14 22:22:21,521 - INFO - Estimated API calls: 20 (vs 100 individual calls)
2025-07-14 22:22:21,521 - INFO - Processing batch 1/20 (Questions 1-5)
2025-07-14 22:22:21,521 - INFO - Attempting batch analysis (attempt 1/3)
2025-07-14 22:22:51,551 - WARNING - Timeout error (attempt 1/3)
2025-07-14 22:23:01,557 - INFO - Attempting batch analysis (attempt 2/3)
2025-07-14 22:23:31,586 - WARNING - Timeout error (attempt 2/3)
2025-07-14 22:23:41,589 - INFO - Attempting batch analysis (attempt 3/3)
2025-07-14 22:24:11,627 - WARNING - Timeout error (attempt 3/3)
2025-07-14 22:24:11,628 - ERROR - Batch failed after all timeout retries
2025-07-14 22:24:11,628 - ERROR -   ❌ Q1: Fallback analysis (batch failed)
2025-07-14 22:24:11,628 - ERROR -   ❌ Q2: Fallback analysis (batch failed)
2025-07-14 22:24:11,628 - ERROR -   ❌ Q3: Fallback analysis (batch failed)
2025-07-14 22:24:11,628 - ERROR -   ❌ Q4: Fallback analysis (batch failed)
2025-07-14 22:24:11,628 - ERROR -   ❌ Q5: Fallback analysis (batch failed)
2025-07-14 22:24:11,628 - WARNING -   ⚠️  Batch 1 failed, using fallback analysis
2025-07-14 22:24:11,630 - INFO - Updated output file: ../json_files/upsc_prelims_2025_grok_analyzed.json (20 questions)
2025-07-14 22:24:11,630 - INFO -   ⏱️  Progress: 1/20 batches (5.0%)
2025-07-14 22:24:11,630 - INFO -   ⏱️  Elapsed: 1.8 minutes, Estimated remaining: 34.9 minutes
2025-07-14 22:24:11,630 - INFO -   ⏳ Waiting 10 seconds before next batch...
2025-07-14 22:24:21,635 - INFO - Processing batch 2/20 (Questions 6-10)
2025-07-14 22:24:21,635 - INFO - Attempting batch analysis (attempt 1/3)
