/Users/mukulmalik/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-07-14 23:48:29,877 - INFO - Background Agent initialized successfully
2025-07-14 23:48:29,877 - INFO - 🚀 Starting Background Grok Analysis Agent
2025-07-14 23:48:29,877 - INFO - ============================================================
2025-07-14 23:48:29,877 - INFO - 📚 Processing UPSC 2025 Questions
2025-07-14 23:48:29,877 - INFO - ----------------------------------------
2025-07-14 23:48:29,877 - INFO - Loaded 100 questions for UPSC 2025
2025-07-14 23:48:29,877 - INFO - Starting analysis for UPSC 2025
2025-07-14 23:48:29,877 - INFO - Total questions: 100
2025-07-14 23:48:29,877 - INFO - Batch size: 5
2025-07-14 23:48:29,877 - INFO - Total batches: 20
2025-07-14 23:48:29,877 - INFO - Estimated API calls: 20 (vs 100 individual calls)
2025-07-14 23:48:29,877 - INFO - Processing batch 1/20 (Questions 1-5)
2025-07-14 23:48:29,877 - INFO - Attempting batch analysis (attempt 1/3)
2025-07-14 23:49:39,385 - INFO - Batch analysis completed successfully
2025-07-14 23:49:39,385 - INFO -   ✅ Q1: Analysis added
2025-07-14 23:49:39,386 - INFO -   ✅ Q2: Analysis added
2025-07-14 23:49:39,386 - INFO -   ✅ Q3: Analysis added
2025-07-14 23:49:39,386 - INFO -   ✅ Q4: Analysis added
2025-07-14 23:49:39,386 - INFO -   ✅ Q5: Analysis added
2025-07-14 23:49:39,386 - INFO -   📊 Batch 1 completed successfully
2025-07-14 23:49:39,387 - INFO -   💾 Updated output file: ../json_files/upsc_prelims_2025_grok_analyzed.json (5 questions)
2025-07-14 23:49:39,387 - INFO -   ⏱️  Progress: 1/20 batches (5.0%)
2025-07-14 23:49:39,387 - INFO -   ⏱️  Elapsed: 1.2 minutes, Estimated remaining: 22.0 minutes
2025-07-14 23:49:39,388 - INFO -   ⏳ Waiting 15 seconds before next batch...
2025-07-14 23:49:54,392 - INFO - Processing batch 2/20 (Questions 6-10)
2025-07-14 23:49:54,392 - INFO - Attempting batch analysis (attempt 1/3)
2025-07-14 23:50:56,331 - INFO - Batch analysis completed successfully
2025-07-14 23:50:56,332 - INFO -   ✅ Q6: Analysis added
2025-07-14 23:50:56,332 - INFO -   ✅ Q7: Analysis added
2025-07-14 23:50:56,333 - INFO -   ✅ Q8: Analysis added
2025-07-14 23:50:56,333 - INFO -   ✅ Q9: Analysis added
2025-07-14 23:50:56,333 - INFO -   ✅ Q10: Analysis added
2025-07-14 23:50:56,333 - INFO -   📊 Batch 2 completed successfully
2025-07-14 23:50:56,337 - INFO -   💾 Updated output file: ../json_files/upsc_prelims_2025_grok_analyzed.json (10 questions)
2025-07-14 23:50:56,337 - INFO -   ⏱️  Progress: 2/20 batches (10.0%)
2025-07-14 23:50:56,337 - INFO -   ⏱️  Elapsed: 2.4 minutes, Estimated remaining: 22.0 minutes
2025-07-14 23:50:56,337 - INFO -   ⏳ Waiting 15 seconds before next batch...
2025-07-14 23:51:11,342 - INFO - Processing batch 3/20 (Questions 11-15)
2025-07-14 23:51:11,343 - INFO - Attempting batch analysis (attempt 1/3)
2025-07-14 23:52:26,148 - INFO - Batch analysis completed successfully
2025-07-14 23:52:26,149 - INFO -   ✅ Q11: Analysis added
2025-07-14 23:52:26,150 - INFO -   ✅ Q12: Analysis added
2025-07-14 23:52:26,150 - INFO -   ✅ Q13: Analysis added
2025-07-14 23:52:26,150 - INFO -   ✅ Q14: Analysis added
2025-07-14 23:52:26,150 - INFO -   ✅ Q15: Analysis added
2025-07-14 23:52:26,150 - INFO -   📊 Batch 3 completed successfully
2025-07-14 23:52:26,154 - INFO -   💾 Updated output file: ../json_files/upsc_prelims_2025_grok_analyzed.json (15 questions)
2025-07-14 23:52:26,154 - INFO -   ⏱️  Progress: 3/20 batches (15.0%)
2025-07-14 23:52:26,154 - INFO -   ⏱️  Elapsed: 3.9 minutes, Estimated remaining: 22.3 minutes
2025-07-14 23:52:26,154 - INFO -   ⏳ Waiting 15 seconds before next batch...
2025-07-14 23:52:41,157 - INFO - Processing batch 4/20 (Questions 16-20)
2025-07-14 23:52:41,158 - INFO - Attempting batch analysis (attempt 1/3)
2025-07-14 23:53:50,671 - INFO - Batch analysis completed successfully
2025-07-14 23:53:50,672 - INFO -   ✅ Q16: Analysis added
2025-07-14 23:53:50,672 - INFO -   ✅ Q17: Analysis added
2025-07-14 23:53:50,672 - INFO -   ✅ Q18: Analysis added
2025-07-14 23:53:50,672 - INFO -   ✅ Q19: Analysis added
2025-07-14 23:53:50,673 - INFO -   ✅ Q20: Analysis added
2025-07-14 23:53:50,673 - INFO -   📊 Batch 4 completed successfully
2025-07-14 23:53:50,679 - INFO -   💾 Updated output file: ../json_files/upsc_prelims_2025_grok_analyzed.json (20 questions)
2025-07-14 23:53:50,679 - INFO -   ⏱️  Progress: 4/20 batches (20.0%)
